lon,lat,m.length,n.sprat,sprat.length,n.herring,herring.length
-4.97,55.78,7.388714813,6188,7.213396897,276,11.32065217
-5.1,55.96,10.35263716,40496,10.35141742,3,27.16666667
-5.08,55.94,10.45959484,2643,10.26598562,38,24.5
-5.26,55.81,7.593933507,5629,7.569284065,35,11.58571429
-5.08,56.19,9.475806452,118021,9.475800917,0,0
-5.27,56.08,8.972212014,31301,8.971981726,1,14
-5.42,55.41,9.039215686,5635,9.039307897,0,0
-5.26,55.28,8.870439965,26343,8.870439965,0,0
-4.98,55.44,7.168269231,12725,7.168408644,0,0
-4.93,55.58,7.048274651,115720,7.046011925,49,11.89795918
-5.08,55.63,7.372708688,17559,7.368272681,19,11.5
-4.88,55.65,18.61516854,0,,5734,19.1142309
-4.79,55.57,8.08017338,20427,8.078082929,10,12.95
-4.92,55.43,7.572062589,3018,7.488402916,58,12.04310345
-4.88,55.44,7.923303656,4164,7.851945245,68,12.375
-4.93,55.35,7.031334787,19394,7.028900691,8,13.0625
-5.2,55.11,6.961743938,46366,6.959819695,21,11.4047619
-5.45,55.12,7.950777202,163,7.380368098,30,11.05
-5.36,55.35,8.062661803,12478,8.060145857,7,12.42857143
