GridNumber,Lon,Lat,AreaNumber,Shape *,Id,Area
1,-5.044694,54.915042,0,Polygon,0,0.52121
2,-5.028855,54.915042,1,Polygon,0,1.01352
3,-5.013016,54.915042,2,Polygon,0,1.01464
4,-4.997177,54.915042,3,Polygon,0,0.59937
5,-5.060533,54.924013,4,Polygon,0,0.53661
6,-5.044694,54.924013,5,Polygon,0,1.01443
7,-5.028855,54.924013,6,Polygon,0,1.01442
8,-5.013016,54.924013,7,Polygon,0,1.01441
9,-4.997177,54.924013,8,Polygon,0,0.76297
10,-5.060533,54.932984,9,Polygon,0,0.95018
11,-5.044694,54.932984,10,Polygon,0,1.01421
12,-5.028855,54.932984,11,Polygon,0,1.0142
13,-5.013016,54.932984,12,Polygon,0,1.01419
14,-4.997177,54.932984,13,Polygon,0,0.56685
15,-5.060533,54.941955,14,Polygon,0,1.01399
16,-5.044694,54.941955,15,Polygon,0,1.01398
17,-5.028855,54.941955,16,Polygon,0,1.01397
18,-5.013016,54.941955,17,Polygon,0,0.954
19,-5.060533,54.950926,18,Polygon,0,1.01377
20,-5.044694,54.950926,19,Polygon,0,1.01376
21,-5.028855,54.950926,20,Polygon,0,1.01374
22,-5.013016,54.950926,21,Polygon,0,0.85741
23,-5.060533,54.959897,22,Polygon,0,1.01354
24,-5.044694,54.959897,23,Polygon,0,1.01352
25,-5.028855,54.959897,24,Polygon,0,1.01351
26,-5.013016,54.959897,25,Polygon,0,0.50333
27,-5.060533,54.968868,26,Polygon,0,0.89014
28,-5.044694,54.968868,27,Polygon,0,1.0133
29,-5.028855,54.968868,28,Polygon,0,0.9622
30,-5.203084,54.977839,29,Polygon,0,0.69975
31,-5.187245,54.977839,30,Polygon,0,0.63902
32,-5.060533,54.977839,31,Polygon,0,0.98902
33,-5.044694,54.977839,32,Polygon,0,1.01307
34,-5.218923,54.98681,33,Polygon,0,0.87656
35,-5.203084,54.98681,34,Polygon,0,1.01296
36,-5.187245,54.98681,35,Polygon,0,0.97449
37,-5.060533,54.98681,36,Polygon,0,1.01286
38,-5.044694,54.98681,37,Polygon,0,0.97972
39,-5.234762,54.995781,38,Polygon,0,0.98076
40,-5.218923,54.995781,39,Polygon,0,1.01274
41,-5.203084,54.995781,40,Polygon,0,1.01273
42,-5.187245,54.995781,41,Polygon,0,1.01272
43,-5.076372,54.995781,42,Polygon,0,0.67218
44,-5.060533,54.995781,43,Polygon,0,1.01263
45,-5.044694,54.995781,44,Polygon,0,0.79192
46,-5.26644,55.004752,45,Polygon,0,0.63902
47,-5.250601,55.004752,46,Polygon,0,1.01254
48,-5.234762,55.004752,47,Polygon,0,1.01253
49,-5.218923,55.004752,48,Polygon,0,1.01252
50,-5.203084,55.004752,49,Polygon,0,1.01251
51,-5.187245,55.004752,50,Polygon,0,1.01249
52,-5.171406,55.004752,51,Polygon,0,0.92947
53,-5.076372,55.004752,52,Polygon,0,1.01242
54,-5.060533,55.004752,53,Polygon,0,1.01241
55,-5.282279,55.013723,54,Polygon,0,0.83533
56,-5.26644,55.013723,55,Polygon,0,1.01232
57,-5.250601,55.013723,56,Polygon,0,1.01231
58,-5.234762,55.013723,57,Polygon,0,1.0123
59,-5.218923,55.013723,58,Polygon,0,1.01229
60,-5.203084,55.013723,59,Polygon,0,1.01228
61,-5.187245,55.013723,60,Polygon,0,1.01227
62,-5.171406,55.013723,61,Polygon,0,1.01225
63,-5.155567,55.013723,62,Polygon,0,1.01224
64,-5.139728,55.013723,63,Polygon,0,0.98137
65,-5.092211,55.013723,64,Polygon,0,0.58322
66,-5.076372,55.013723,65,Polygon,0,1.01219
67,-5.060533,55.013723,66,Polygon,0,0.82306
68,-5.298118,55.022694,67,Polygon,0,0.86393
69,-5.282279,55.022694,68,Polygon,0,1.0121
70,-5.26644,55.022694,69,Polygon,0,1.0121
71,-5.250601,55.022694,70,Polygon,0,1.01209
72,-5.234762,55.022694,71,Polygon,0,1.01208
73,-5.218923,55.022694,72,Polygon,0,1.01207
74,-5.203084,55.022694,73,Polygon,0,1.01205
75,-5.187245,55.022694,74,Polygon,0,1.01204
76,-5.171406,55.022694,75,Polygon,0,1.01202
77,-5.155567,55.022694,76,Polygon,0,1.01201
78,-5.139728,55.022694,77,Polygon,0,1.012
79,-5.123889,55.022694,78,Polygon,0,1.01199
80,-5.10805,55.022694,79,Polygon,0,1.00463
81,-5.092211,55.022694,80,Polygon,0,1.01179
82,-5.076372,55.022694,81,Polygon,0,1.01197
83,-5.060533,55.022694,82,Polygon,0,0.54198
84,-5.313957,55.031665,83,Polygon,0,0.68001
85,-5.298118,55.031665,84,Polygon,0,1.02606
86,-5.282279,55.031665,85,Polygon,0,1.01188
87,-5.26644,55.031665,86,Polygon,0,1.01187
88,-5.250601,55.031665,87,Polygon,0,1.01186
89,-5.234762,55.031665,88,Polygon,0,1.01185
90,-5.218923,55.031665,89,Polygon,0,1.01184
91,-5.203084,55.031665,90,Polygon,0,1.01182
92,-5.187245,55.031665,91,Polygon,0,1.01181
93,-5.171406,55.031665,92,Polygon,0,1.0118
94,-5.155567,55.031665,93,Polygon,0,1.01179
95,-5.139728,55.031665,94,Polygon,0,1.01178
